
=== Results from: loomrv-benchmark-dense-binary.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
RespondBQR1000 Dense1                              | 0.69697
RespondBQR1000 Dense10                             | 0.14839
RespondBQR1000 Dense100                            | 0.04009
RespondGLB10 Dense1                                | 0.61296
RespondGLB10 Dense10                               | 0.39909
RespondGLB10 Dense100                              | 0.39837
RespondGLB100 Dense1                               | 0.41881
RespondGLB100 Dense10                              | 0.12407
RespondGLB100 Dense100                             | 0.06282
RespondGLB1000 Dense1                              | 0.39530
RespondGLB1000 Dense10                             | 0.08863
RespondGLB1000 Dense100                            | 0.02743

=== Results from: ryjson-benchmark-multi-and.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
ryjson_Combined_AND_30                             | 23.74372

=== Results from: ryjson-benchmark-multi.sh".d751a12fea0f1b3b148150206cd834c30222aabb.results.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
ryjson_Sequential_30                               | 27.08712




=== Results from: bench_best_case_shared_core_10props_1000000ev_d751a12fea0f1b3b148150206cd834c30222aabb.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
ryjson (Sequential)                                | 16.70621
loomrv (Sequential)                             | 3.81619
loomrv (Multi-Property)                         | 0.93612

=== Results from: bench_nested_best_case_10props_1000000ev_d751a12fea0f1b3b148150206cd834c30222aabb.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
ryjson (Sequential)                                | 7.53321
loomrv (Sequential)                             | 2.39256
loomrv (Multi-Property)                         | 0.63897

=== Results from: bench_nested_worst_case_10props_1000000ev_d751a12fea0f1b3b148150206cd834c30222aabb.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
ryjson (Sequential)                                | 8.76407
loomrv (Sequential)                             | 2.92834
loomrv (Multi-Property)                         | 1.62846

=== Results from: bench_worst_case_unique_leaves_10props_1000000ev_d751a12fea0f1b3b148150206cd834c30222aabb.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
ryjson (Sequential)                                | 8.99907
loomrv (Sequential)                             | 3.28852
loomrv (Multi-Property)                         | 1.87559



=== Results from: bench_binary_best_case_shared_core_10props_1000000ev_d751a12fea0f1b3b148150206cd834c30222aabb.json ===
Benchmark Name                                     | Min Time (s)   
----------------------------------------------------------------------
rybinx (Sequential)                                | 11.07184
loomrv (Sequential, binary)                 | 2.57472
loomrv (Multi-Property, binary)             | 0.80400

